title,author,year,publisher,image_url_m,isbn
Homicide: A Year on the Killing Streets,David Simon,1993,Ivy Books,http://images.amazon.com/images/P/0804109990.01.MZZZZZZZ.jpg,804109990a
Hope of Earth (Geodyssey),Piers Anthony,1998,Tor Fantasy,http://images.amazon.com/images/P/0812571118.01.MZZZZZZZ.jpg,812571118a
Minus Time,Catherine Bush,0,Harpercollins Publisher,http://images.amazon.com/images/P/0006485294.01.MZZZZZZZ.jpg,6485294a
"28 Barbary Lane : A \Tales of the City\"" Omnibus""",Armistead Maupin,1990,HarperCollins,http://images.amazon.com/images/P/0060164662.01.MZZZZZZZ.jpg,60164662a
Biology,Kenneth R. Miller,1998,Pearson Prentice Hall,http://images.amazon.com/images/P/0134342283.01.MZZZZZZZ.jpg,134342283a
Biology Study Guide,Kenneth Miller,1995,Pearson Prentice Hall,http://images.amazon.com/images/P/0138030405.01.MZZZZZZZ.jpg,138030405a
Impact: A Guide to Business Communication (Esl English 2nd Language Series),Margot Northey,1997,Prentice Hall of Canada Ltd,http://images.amazon.com/images/P/013838939X.01.MZZZZZZZ.jpg,013838939Xa
"I, Claudius: From the autobiography of Tiberius Claudius, Emperor of the Romans, born 10 B.C., murdered and deified A.D. 54",Robert Graves,1978,Penguin Books,http://images.amazon.com/images/P/0140003185.01.MZZZZZZZ.jpg,140003185a
Brideshead Revisited,Evelyn Waugh,0,Penguin Putnam~mass,http://images.amazon.com/images/P/0140008217.01.MZZZZZZZ.jpg,140008217a
The End of the Affair,Graham Greene,1970,Penguin Books Ltd,http://images.amazon.com/images/P/0140017852.01.MZZZZZZZ.jpg,140017852a
The Clear Light of Day (King Penguin S.),Anita Desai,1981,Penguin Books Ltd,http://images.amazon.com/images/P/0140058605.01.MZZZZZZZ.jpg,140058605a
Wide Sargasso Sea,Jean Rhys,0,Penguin Putnam~trade,http://images.amazon.com/images/P/0140089128.01.MZZZZZZZ.jpg,140089128a
Whats Bred In the Bone,Robertson Davies,0,Penguin Putnam~mass,http://images.amazon.com/images/P/0140096825.01.MZZZZZZZ.jpg,140096825a
Reconstruction,Claudia Casper,0,Penguin Putnam~trade,http://images.amazon.com/images/P/0140253874.01.MZZZZZZZ.jpg,140253874a
,,,,,140302980a
,,,,,141002492a
,,,,,141302933a
"Northanger Abbey, Lady Susan, the Watsons and Sanditon (World's Classics)",Jane Austen,1990,Oxford University Press,http://images.amazon.com/images/P/0192827588.01.MZZZZZZZ.jpg,192827588a
The Catch Trap,Marion Zimmer Bradley,1984,Ballantine Books,http://images.amazon.com/images/P/0345315642.01.MZZZZZZZ.jpg,345315642a
Missing,Thomas Hauser,1982,Harper Mass Market Paperbacks (Mm),http://images.amazon.com/images/P/0380490986.01.MZZZZZZZ.jpg,380490986a
"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385474016.01.MZZZZZZZ.jpg,385474016a
The Reeve's Tale (Sister Frevisse Medieval Mysteries (Paperback)),Margaret Frazer,2000,Prime Crime,http://images.amazon.com/images/P/0425176673.01.MZZZZZZZ.jpg,425176673a
The Return of the Native (Heinemann Guided Readers),Margaret Tarner,1979,Macmillan Education,http://images.amazon.com/images/P/0435270613.01.MZZZZZZZ.jpg,435270613a
Name of the Rose-Nla,Umberto Eco,1984,Warner Books,http://images.amazon.com/images/P/0446322180.01.MZZZZZZZ.jpg,446322180a
Thinner,Stephen King,1985,New Amer Library,http://images.amazon.com/images/P/0451137965.01.MZZZZZZZ.jpg,451137965a
The Last of the Mohicans (Bantam Classics),James Fenimore Cooper,1981,Bantam Classics,http://images.amazon.com/images/P/0553213296.01.MZZZZZZZ.jpg,553213296a
Always Coming Home,Ursula K. Le Guin,1993,Spectra Books,http://images.amazon.com/images/P/0553262807.01.MZZZZZZZ.jpg,553262807a
I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam,http://images.amazon.com/images/P/0553279378.01.MZZZZZZZ.jpg,553279378a
Acquired Tastes,Peter Mayle,1993,Bantam,http://images.amazon.com/images/P/0553371835.01.MZZZZZZZ.jpg,553371835a
Providence,Anita Brookner,1984,Academy Chicago Pub,http://images.amazon.com/images/P/0586056572.01.MZZZZZZZ.jpg,586056572a
Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books,http://images.amazon.com/images/P/0670892963.01.MZZZZZZZ.jpg,670892963a
The Passion of Artemisia,Susan Vreeland,2002,Viking Books,http://images.amazon.com/images/P/0670894494.01.MZZZZZZZ.jpg,670894494a
Fatal Voyage,Kathy Reichs,2002,Pocket,http://images.amazon.com/images/P/0671028375.01.MZZZZZZZ.jpg,671028375a
Heat and Dust,Ruth Prawer Jhabvala,1987,Touchstone,http://images.amazon.com/images/P/0671646575.01.MZZZZZZZ.jpg,671646575a
The Temple of My Familiar,Alice Walker,1990,Pocket,http://images.amazon.com/images/P/0671683993.01.MZZZZZZZ.jpg,671683993a
My Antonia (Vintage Classics),Willa Cather,1994,Vintage Books USA,http://images.amazon.com/images/P/0679741879.01.MZZZZZZZ.jpg,679741879a
The Vision of Emma Blau : A Novel,Ursula Hegi,2001,Touchstone,http://images.amazon.com/images/P/0684872730.01.MZZZZZZZ.jpg,684872730a
Go Ask Alice,Anonymous,1998,Simon Pulse,http://images.amazon.com/images/P/0689817851.01.MZZZZZZZ.jpg,689817851a
#N/A,#N/A,#N/A,#N/A,#N/A,712624090a
The far pavilions,M. M Kaye,1978,Allen Lane,http://images.amazon.com/images/P/0713911131.01.MZZZZZZZ.jpg,713911131a
,,,,,749305401a
"The Cat Who'll Live Forever : The Final Adventures of Norton, the Perfect Cat, and His Imperfect Human",PETER GETHERS,2001,Broadway,http://images.amazon.com/images/P/0767906373.01.MZZZZZZZ.jpg,767906373a
Bluebeards Egg,Margaret Atwood,0,Bantam Doubleday Dell,http://images.amazon.com/images/P/0770418686.01.MZZZZZZZ.jpg,770418686a
The Diviners,Laurence,1984,Bantam Books,http://images.amazon.com/images/P/0770420451.01.MZZZZZZZ.jpg,770420451a
Two solitudes,Hugh MacLennan,1978,Macmillan,http://images.amazon.com/images/P/0770502466.01.MZZZZZZZ.jpg,770502466a
Why Women Need Chocolate: Eat What You Crave to Look Good &amp; Feel Great,Debra Waterhouse,1996,Hyperion Books,http://images.amazon.com/images/P/0786881348.01.MZZZZZZZ.jpg,786881348a
The Radiant Way,Margaret Drabble,1995,Ivy Books,http://images.amazon.com/images/P/0804103658.01.MZZZZZZZ.jpg,804103658a
Russka : The Novel of Russia,EDWARD RUTHERFURD,1992,Ivy Books,http://images.amazon.com/images/P/0804109729.01.MZZZZZZZ.jpg,804109729a
The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books,http://images.amazon.com/images/P/0804114986.01.MZZZZZZZ.jpg,804114986a
"People of the Sea (The First North Americans series, Book 5)",W. Michael Gear,1994,Tor Books,http://images.amazon.com/images/P/0812507452.01.MZZZZZZZ.jpg,812507452a
"People of the Lightning (The First North Americans series, Book 7)",Kathleen O'Neal Gear,1996,Tor Books,http://images.amazon.com/images/P/0812515560.01.MZZZZZZZ.jpg,812515560a
"People of the Silence (The First North Americans series, Book 8)",Kathleen O'Neal Gear,1997,Tor Books,http://images.amazon.com/images/P/0812515595.01.MZZZZZZZ.jpg,812515595a
White Smoke: A Novel About the Next Papal Conclave,Andrew M. Greeley,1997,Forge,http://images.amazon.com/images/P/0812590554.01.MZZZZZZZ.jpg,812590554a
,,,,,938261088a
Lesbian Survival Manual,Rhonda Dicksion,1990,Naiad Press,http://images.amazon.com/images/P/0941483711.01.MZZZZZZZ.jpg,941483711a
#N/A,#N/A,#N/A,#N/A,#N/A,1550137387a
,,,,,1550170791a
"Eeyore, Be Happy (Little Golden Book)",Don Ferguson,1996,Western Publishing Company,http://images.amazon.com/images/P/030700645X.01.MZZZZZZZ.jpg,030700645Xa
Disney's The Lion King (A Golden Look-Look Book),M. Hover,1994,Random House Childrens Books,http://images.amazon.com/images/P/0307127923.01.MZZZZZZZ.jpg,307127923a
Winnie the Pooh and the Honey Tree (Little Golden Books),Golden Books,1995,Western Publishing Company,http://images.amazon.com/images/P/0307302016.01.MZZZZZZZ.jpg,307302016a
The Grand and Wonderful Day (Little Golden Book),Mary Packard,1995,Western Publishing Company,http://images.amazon.com/images/P/0307302636.01.MZZZZZZZ.jpg,307302636a
"Eeyore, You're the Best (Disney's Pooh)",Ann Braybrooks,1996,Random House Childrens Books,http://images.amazon.com/images/P/0307987655.01.MZZZZZZZ.jpg,307987655a
Something Special,David M. McPhail,1988,Little Brown &amp; Co,http://images.amazon.com/images/P/0316563242.01.MZZZZZZZ.jpg,316563242a
The Secret of the Indian (Indian in the Cupboard),Lynne Reid Banks,1999,HarperTrophy,http://images.amazon.com/images/P/0380710404.01.MZZZZZZZ.jpg,380710404a
The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers,http://images.amazon.com/images/P/039480001X.01.MZZZZZZZ.jpg,039480001Xa
The Cat in the Hat Comes Back (I Can Read It All by Myself Beginner Books),Dr. Seuss,1958,Random House Books for Young Readers,http://images.amazon.com/images/P/0394800028.01.MZZZZZZZ.jpg,394800028a
Are You My Mother?,Philip D. Eastman,1960,Random House Children's Books,http://images.amazon.com/images/P/0394800184.01.MZZZZZZZ.jpg,394800184a
Hop on Pop (I Can Read It All by Myself Beginner Books),Dr. Seuss,1963,Random House Books for Young Readers,http://images.amazon.com/images/P/039480029X.01.MZZZZZZZ.jpg,039480029Xa
Bears on Wheels (Bright &amp; Early Books),STAN BERENSTAIN,1969,Random House Books for Young Readers,http://images.amazon.com/images/P/039480967X.01.MZZZZZZZ.jpg,039480967Xa
Winnie the Pooh and Tigger Too,A. A. Milne,1976,Random House Children's Books,http://images.amazon.com/images/P/0394925696.01.MZZZZZZZ.jpg,394925696a
Franklin Goes to the Hospital (Franklin),Sharon Jennings,2000,Scholastic,http://images.amazon.com/images/P/0439083702.01.MZZZZZZZ.jpg,439083702a
Show-And-Tell Surprise: Clifford the Big Red Dog (Big Red Reader Series),Teddy Margules,2001,Scholastic,http://images.amazon.com/images/P/0439213592.01.MZZZZZZZ.jpg,439213592a
"The Racecar Monster (Scooby-Doo Picture Clue, 8)",Gail Herman,2001,Scholastic,http://images.amazon.com/images/P/0439242363.01.MZZZZZZZ.jpg,439242363a
Clifford's Class Trip (Clifford),Norman Bridwell,2003,Scholastic,http://images.amazon.com/images/P/0439449316.01.MZZZZZZZ.jpg,439449316a
Scooby-Doo on Zombie Island (Scooby-Doo),Gail Herman,1998,Scholastic,http://images.amazon.com/images/P/0590386522.01.MZZZZZZZ.jpg,590386522a
Clifford's Christmas,Norman Bridwell,1986,Scholastic,http://images.amazon.com/images/P/0590402218.01.MZZZZZZZ.jpg,590402218a
Witch's Christmas,Norman Bridwell,1986,Scholastic,http://images.amazon.com/images/P/0590404342.01.MZZZZZZZ.jpg,590404342a
Clifford and the Grouchy Neighbors (Clifford the Big Red Dog (Paperback)),Norman Bridwell,1985,Scholastic,http://images.amazon.com/images/P/0590442619.01.MZZZZZZZ.jpg,590442619a
Clifford's Birthday Party (Clifford the Big Red Dog (Paperback)),Norman Bridwell,1990,Scholastic,http://images.amazon.com/images/P/0590442791.01.MZZZZZZZ.jpg,590442791a
"Clifford's Kitten (Clifford, the Big Red Dog)",Norman Bridwell,1994,Cartwheel Books,http://images.amazon.com/images/P/0590442805.01.MZZZZZZZ.jpg,590442805a
Clifford Goes to Hollywood (Clifford Storybooks),Norman Bridwell,1990,Cartwheel Books,http://images.amazon.com/images/P/0590442899.01.MZZZZZZZ.jpg,590442899a
"Clifford, the Big Red Dog (Clifford the Big Red Dog (Paperback))",Norman Bridwell,1985,Scholastic,http://images.amazon.com/images/P/059044297X.01.MZZZZZZZ.jpg,059044297Xa
Working Hard With the Busy Fire Truck,Jordan Horowitz,1993,Scholastic,http://images.amazon.com/images/P/059046602X.01.MZZZZZZZ.jpg,059046602Xa
Winter Wonderland (Read with Me Cartwheel Books (Scholastic Paperback)),Dick Smith,1996,Scholastic,http://images.amazon.com/images/P/0590466577.01.MZZZZZZZ.jpg,590466577a
Our Favorite Creatures (Kratts' Creatures),Martin Kratt,1996,Scholastic Paperbacks (T),http://images.amazon.com/images/P/059053744X.01.MZZZZZZZ.jpg,059053744Xa
Clifford's Sports Day,Norman Bridwell,1996,Scholastic,http://images.amazon.com/images/P/0590629719.01.MZZZZZZZ.jpg,590629719a
Clifford's First Valentine's Day,Norman Bridwell,1997,Scholastic,http://images.amazon.com/images/P/0590921622.01.MZZZZZZZ.jpg,590921622a
A Field of Sunflowers (Read-With-Me),Neil Johnson,1997,Cartwheel Books (Scholastics),http://images.amazon.com/images/P/0590965492.01.MZZZZZZZ.jpg,590965492a
My Book of Inventions (Jimmy Neutron),Lara Bergen,2001,Simon Spotlight/Nickelodeon,http://images.amazon.com/images/P/0689845405.01.MZZZZZZZ.jpg,689845405a
Dizzy and Muck Work It Out (Bob The Builder),Annie Auerbach,2002,Simon Spotlight,http://images.amazon.com/images/P/0689847564.01.MZZZZZZZ.jpg,689847564a
Disney's: The Little Mermaid (Disney's Wonderful World of Reading),Walt Disney,0,Stoddart+publishing,http://images.amazon.com/images/P/0717283194.01.MZZZZZZZ.jpg,717283194a
Prince and the Pauper Walt Disney,Disney,1993,Stoddart+publishing,http://images.amazon.com/images/P/0717283208.01.MZZZZZZZ.jpg,717283208a
Disney's Beauty and the Beast,First American Edition,1993,Grolier Book club Edition,http://images.amazon.com/images/P/0717283275.01.MZZZZZZZ.jpg,717283275a
Jungle Book,Walt Disney,0,Stoddart+publishing,http://images.amazon.com/images/P/0717283364.01.MZZZZZZZ.jpg,717283364a
Aladdin,Walt Disney,0,Stoddart+publishing,http://images.amazon.com/images/P/0717283372.01.MZZZZZZZ.jpg,717283372a
101 Dalmatians,Walt Disney,1995,Stoddart+publishing,http://images.amazon.com/images/P/0717284832.01.MZZZZZZZ.jpg,717284832a
Disney's Pocahontas (Disney's Wonderful World of Reading),Walt Disney,1995,Grolier Book Club Edition,http://images.amazon.com/images/P/0717284972.01.MZZZZZZZ.jpg,717284972a
Dumbo,Walt Disney,1996,Walt Disney,http://images.amazon.com/images/P/0717287017.01.MZZZZZZZ.jpg,717287017a
Disney's The Hunchback of Notre Dame,Ronald Kidd,1996,Grolier Books,http://images.amazon.com/images/P/0717287106.01.MZZZZZZZ.jpg,717287106a
Dreaming Numbers: A Counting Book (Toddler Books),Eugenie Fernandes,1990,Penguin U S A,http://images.amazon.com/images/P/0721452728.01.MZZZZZZZ.jpg,721452728a
Disney's Where Is the Heffalump?: A Lift-The-Flap Book (Lift the Flaps (Mouse Works (Firm)).),Kathleen Weider Zoehfeld,1999,Mouse Works,http://images.amazon.com/images/P/0736401113.01.MZZZZZZZ.jpg,736401113a
If You Were a Firefighter (If You Were a...),Virginia Schomp,1998,Benchmark Books (NY),http://images.amazon.com/images/P/0761406158.01.MZZZZZZZ.jpg,761406158a
Rapunzel,Landoll,1999,Landoll,http://images.amazon.com/images/P/0769600239.01.MZZZZZZZ.jpg,769600239a
,,,,,785316477a
,,,,,785316493a
#N/A,#N/A,#N/A,#N/A,#N/A,785316531a
"Mama, Do You Love Me?",Barbara M. Joosse,1991,Chronicle Books,http://images.amazon.com/images/P/087701759X.01.MZZZZZZZ.jpg,087701759Xa
,,,,,882712926a
Don't Forget The Oatmeal! A Word Book (Sesame Street Book Club),B. G. Ford,1993,Reader's Digest,http://images.amazon.com/images/P/0895777010.01.MZZZZZZZ.jpg,895777010a
If I Found a Wistful Unicorn: A Gift of Love,Ann Ashford,2002,Peachtree Publishers,http://images.amazon.com/images/P/1561452718.01.MZZZZZZZ.jpg,1561452718a
Winnie the Pooh's Bedtime Stories,Bruce Talkington,1994,Disney Press,http://images.amazon.com/images/P/1562826468.01.MZZZZZZZ.jpg,1562826468a
The Wizard of Oz,L. Frank Baum,1998,Tormont Publications,http://images.amazon.com/images/P/2764104936.01.MZZZZZZZ.jpg,2764104936a
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins,http://images.amazon.com/images/P/0060173289.01.MZZZZZZZ.jpg,60173289a
Ginger Tree,Oswald Wynd,1990,Perennial,http://images.amazon.com/images/P/0060973323.01.MZZZZZZZ.jpg,60973323a
Less Than Zero (Contemporary American Fiction),Bret Easton Ellis,1986,Penguin Books,http://images.amazon.com/images/P/0140088946.01.MZZZZZZZ.jpg,140088946a
Running with Scissors,Augusten Burroughs,2002,St. Martin's Press,http://images.amazon.com/images/P/0312283709.01.MZZZZZZZ.jpg,312283709a
Smilla's Sense of Snow,Peter Hoeg,1993,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374266441.01.MZZZZZZZ.jpg,374266441a
Lytton Strachey: The New Biography,Michael Holroyd,1995,Noonday Press,http://images.amazon.com/images/P/0374524653.01.MZZZZZZZ.jpg,374524653a
Memoirs of a Geisha,Arthur Golden,1997,Alfred A. Knopf,http://images.amazon.com/images/P/0375400117.01.MZZZZZZZ.jpg,375400117a
Driving Over Lemons: An Optimist in Andalucia,Chris Stewart,2000,Random House Inc,http://images.amazon.com/images/P/0375410287.01.MZZZZZZZ.jpg,375410287a
Dish: : The Inside Story on the World of Gossip,Jeannette Walls,2000,William Morrow,http://images.amazon.com/images/P/0380978210.01.MZZZZZZZ.jpg,380978210a
Circle of Friends,Maeve Binchy,1991,Bantam Dell Pub Group,http://images.amazon.com/images/P/0385301499.01.MZZZZZZZ.jpg,385301499a
Blue Italian,Rita Ciresi,1997,Dell,http://images.amazon.com/images/P/0385319401.01.MZZZZZZZ.jpg,385319401a
Pink Slip,RITA CIRESI,1999,Delta,http://images.amazon.com/images/P/0385323638.01.MZZZZZZZ.jpg,385323638a
The Pelican Brief,JOHN GRISHAM,1992,Doubleday,http://images.amazon.com/images/P/0385421982.01.MZZZZZZZ.jpg,385421982a
The Client,John Grisham,1993,Doubleday Books,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg,038542471Xa
Alias Grace,Margaret Atwood,1996,Nan A. Talese,http://images.amazon.com/images/P/0385475713.01.MZZZZZZZ.jpg,385475713a
The Veiled One,Ruth Rendell,1988,Americana Pub Inc,http://images.amazon.com/images/P/0394572068.01.MZZZZZZZ.jpg,394572068a
Shoeless Joe,W. P. Kinsella,1999,Mariner Books,http://images.amazon.com/images/P/0395957737.01.MZZZZZZZ.jpg,395957737a
"Dude, Where's My Country?",Michael Moore,2003,Warner Books,http://images.amazon.com/images/P/0446532231.01.MZZZZZZZ.jpg,446532231a
The Virgin Suicides,Jeffrey Eugenides,1994,Warner Books,http://images.amazon.com/images/P/0446670251.01.MZZZZZZZ.jpg,446670251a
"Italian Neighbors Or, a Lapsed Anglo-Saxon in Verona",Tim Parks,1993,Ballantine Books,http://images.amazon.com/images/P/0449908186.01.MZZZZZZZ.jpg,449908186a
Great Deliverance (Thomas Lynley and Barbara Havers Novels),Elizabeth George,1988,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553052446.01.MZZZZZZZ.jpg,553052446a
Payment in Blood,Elizabeth George,1989,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553057014.01.MZZZZZZZ.jpg,553057014a
Venus Envy,Rita Mae Brown,1993,Bantam Dell Pub Group,http://images.amazon.com/images/P/0553091999.01.MZZZZZZZ.jpg,553091999a
Murder on Safari (A Viking novel of mystery and suspense),Elspeth Josceline Huxley,1988,Bookthrift Co,http://images.amazon.com/images/P/0670823198.01.MZZZZZZZ.jpg,670823198a
"What the Dogs Have Taught Me, and Other Amazing Things I'Ve Learned",Merrill Markoe,1992,Penguin USA,http://images.amazon.com/images/P/0670843105.01.MZZZZZZZ.jpg,670843105a
Bridget Jones's Diary,Helen Fielding,1998,Viking Books,http://images.amazon.com/images/P/0670880728.01.MZZZZZZZ.jpg,670880728a
Be Sweet: A Conditional Love Story,Roy Blount Jr.,1998,Random House Inc,http://images.amazon.com/images/P/0679400540.01.MZZZZZZZ.jpg,679400540a
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,http://images.amazon.com/images/P/0679429220.01.MZZZZZZZ.jpg,679429220a
Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994,Vintage Books USA,http://images.amazon.com/images/P/0679751602.01.MZZZZZZZ.jpg,679751602a
Quite a Year for Plums: A Novel,Bailey White,1999,Vintage Books USA,http://images.amazon.com/images/P/0679764925.01.MZZZZZZZ.jpg,679764925a
Sleeping at the Starlite Motel: And Other Adventures on the Way Back Home,Bailey White,1996,Vintage Books USA,http://images.amazon.com/images/P/0679770151.01.MZZZZZZZ.jpg,679770151a
FROM POTTER'S FIELD,Patricia Cornwell,1995,Scribner,http://images.amazon.com/images/P/0684195984.01.MZZZZZZZ.jpg,684195984a
BITTER HARVEST : A WOMANS FURY A MOTHERS SACRIFICE,Ann Rule,1998,Simon &amp; Schuster,http://images.amazon.com/images/P/0684810476.01.MZZZZZZZ.jpg,684810476a
Nureyev: His Life,Diane Solway,1998,William Morrow &amp; Company,http://images.amazon.com/images/P/0688128734.01.MZZZZZZZ.jpg,688128734a
,,,,,074751254Xa
She's Not There : A Life in Two Genders,JENNIFER FINNEY BOYLAN,2003,Broadway,http://images.amazon.com/images/P/076791404X.01.MZZZZZZZ.jpg,076791404xa
Bill Bryson's African Diary,BILL BRYSON,2002,Broadway,http://images.amazon.com/images/P/0767915062.01.MZZZZZZZ.jpg,767915062a
An Italian Education: The Further Adventures of an Expatriate in Verona,Tim Parks,1995,Pub Group West,http://images.amazon.com/images/P/080211508X.01.MZZZZZZZ.jpg,080211508xa
It Was on Fire When I Lay Down on It,Robert Fulghum,1993,Ivy Books,http://images.amazon.com/images/P/0804105820.01.MZZZZZZZ.jpg,804105820a
The Beet Queen,Louise Erdrich,1986,Henry Holt &amp; Co,http://images.amazon.com/images/P/0805000585.01.MZZZZZZZ.jpg,805000585a
Under the Tuscan Sun: At Home in Italy,Frances Mayes,1996,Chronicle Books,http://images.amazon.com/images/P/0811808424.01.MZZZZZZZ.jpg,811808424a
Pumping Irony: Working Out the Angst of a Lifetime,Tony Kornheiser,1996,Three Rivers Press (CA),http://images.amazon.com/images/P/0812928318.01.MZZZZZZZ.jpg,812928318a
Bridesmaid,Ruth Rendell,1989,Mysterious Press,http://images.amazon.com/images/P/0892963883.01.MZZZZZZZ.jpg,892963883a
The Copper Peacock and Other Stories,Ruth Rendell,1991,Warner Books Inc,http://images.amazon.com/images/P/0892964650.01.MZZZZZZZ.jpg,892964650a
Live Albom: The Best of Detroit Free Press Sports Columnist Mitch Albom (Live Albom),Mitch Albom,1988,Merle Distributors,http://images.amazon.com/images/P/0937247065.01.MZZZZZZZ.jpg,937247065a
Live Albom III : Gone to the Dogs,Mitch Albom,1992,Detroit free press,http://images.amazon.com/images/P/0937247502.01.MZZZZZZZ.jpg,937247502a
Crash Diet,Jill McCorkle,1992,Algonquin Books of Chapel Hill,http://images.amazon.com/images/P/0945575750.01.MZZZZZZZ.jpg,945575750a
Depth Takes a Holiday: Essays from Lesser Los Angeles,Sandra Tsing Loh,1996,Riverhead Books,http://images.amazon.com/images/P/1573220310.01.MZZZZZZZ.jpg,1573220310a
Joshua,Joseph F Girzone,1987,Macmillan,http://images.amazon.com/images/P/0020198906.01.MZZZZZZZ.jpg,20198906a
Never Call Your Broker on Monday: And 300 Other Financial Lessons You Can't Afford Not to Know,Nancy Dunnan,1997,HarperResource,http://images.amazon.com/images/P/0062701649.01.MZZZZZZZ.jpg,62701649a
Spin Sisters : How the Women of the Media Sell Unhappiness --- and Liberalism --- to the Women of America,Myrna Blyth,2004,St. Martin's Press,http://images.amazon.com/images/P/0312312873.01.MZZZZZZZ.jpg,312312873a
The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999,"Little, Brown",http://images.amazon.com/images/P/0316789089.01.MZZZZZZZ.jpg,316789089a
Sphere,MICHAEL CRICHTON,1988,Ballantine Books,http://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg,345353145a
Eaters of the Dead,MICHAEL CRICHTON,1988,Ballantine Books,http://images.amazon.com/images/P/0345354613.01.MZZZZZZZ.jpg,345354613a
The Andromeda Strain,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345378482.01.MZZZZZZZ.jpg,345378482a
Congo,Michael Crichton,1995,Ballantine Books,http://images.amazon.com/images/P/0345378490.01.MZZZZZZZ.jpg,345378490a
Rising Sun,MICHAEL CRICHTON,1992,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.MZZZZZZZ.jpg,345380371a
Airframe,Michael Crichton,1997,Ballantine Books,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg,345402871a
The Lost World,Michael Crichton,1996,Ballantine Books,http://images.amazon.com/images/P/034540288X.01.MZZZZZZZ.jpg,034540288Xa
Timeline,MICHAEL CRICHTON,2000,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg,345417623a
Longitudes and Attitudes: Exploring the World After September 11,Thomas L. Friedman,2002,Farrar Straus &amp; Giroux,http://images.amazon.com/images/P/0374190666.01.MZZZZZZZ.jpg,374190666a
What Looks Like Crazy on an Ordinary Day: A Novel (Oprah's Book Club (Hardcover)),Pearl Cleage,1997,William Morrow &amp; Company,http://images.amazon.com/images/P/038097584X.01.MZZZZZZZ.jpg,038097584Xa
Five Little Monkeys Jumping on the Bed,Eileen Christelow,1998,Houghton Mifflin Co,http://images.amazon.com/images/P/0395900239.01.MZZZZZZZ.jpg,395900239a
Cause of Death,Patricia Daniels Cornwell,1996,Putnam Pub Group,http://images.amazon.com/images/P/0399141464.01.MZZZZZZZ.jpg,399141464a
Black Notice,Patricia Daniels Cornwell,1999,Putnam Pub Group,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg,399145087a
Tom Clancy's Op-Center: Divide and Conquer (Tom Clancy's Op Center (Paperback)),Tom Clancy,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425174808.01.MZZZZZZZ.jpg,425174808a
"Breaking Point (Tom Clancy's Net Force, No. 4)",Steve Perry,2000,Berkley Publishing Group,http://images.amazon.com/images/P/0425176932.01.MZZZZZZZ.jpg,425176932a
"Cybernation (Tom Clancy's Net Force, No. 6)",Steve Perry,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425182673.01.MZZZZZZZ.jpg,425182673a
"Sea of Fire (Op-Center Series, Volume 10)",Jeff Rovin,2003,Berkley Publishing Group,http://images.amazon.com/images/P/0425190919.01.MZZZZZZZ.jpg,425190919a
Noble House: A Novel of Contemporary Hong Kong,James Clavell,1984,Dell,http://images.amazon.com/images/P/0440164842.01.MZZZZZZZ.jpg,440164842a
Is Paris Burning?,Larry Collins,1991,Warner Books,http://images.amazon.com/images/P/0446392251.01.MZZZZZZZ.jpg,446392251a
Ten Things I Wish I'd Known Before I Went Out into the Real World,Maria Shriver,2000,Warner Books,http://images.amazon.com/images/P/0446526126.01.MZZZZZZZ.jpg,446526126a
The Wheels on the Bus (Pudgy Board Book),Jerry Smith,1991,Grosset &amp; Dunlap,http://images.amazon.com/images/P/044840124X.01.MZZZZZZZ.jpg,044840124Xa
100 Best-Loved Poems (Dover Thrift Editions),Philip Smith,1995,Dover Publications,http://images.amazon.com/images/P/0486285537.01.MZZZZZZZ.jpg,486285537a
The Law of Similars,Christopher A. Bohjalian,1999,Harmony Books,http://images.amazon.com/images/P/0517705869.01.MZZZZZZZ.jpg,517705869a
Pooh (Giant Board Book),A. A. Milne,1999,Dutton Books,http://images.amazon.com/images/P/0525462325.01.MZZZZZZZ.jpg,525462325a
